"Study ID","Author, Year (Study level)","Study Class","Study Publication Year","Treatment Focus (Study level)","Treatment Focus (Arm level)","Treatment Focus Subclass (Arm level)","Total N Randomized","Intervention Group","Arm N Randomized","Arm N Randomized Detail","Treatment Name","Standardized Treatment Name","Treatment Description","Psychotherapy","Psychotherapy Subclass","Pharmacotherapy","Pharmacotherapy Subclass","CIH","CIH Subclass","Nonpharmacologic Biologic","Nonpharmacologic Cognitive","Control","Other Study Class","Collaborative Care","Format","Delivery Method","Dose","Session Length","Frequency","Treatment Duration","Treatment Duration Detail","Completed Treatment Definition","Completed Treatment Percent","Completed Treatment Percent Detail","Participant Adherence Definition","Participants Adhered Percent","Participants Adhered Percent Detail","Psychotherapy Sessions Completed Mean","Psychotherapy Sessions Completed Standard deviation","Psychotherapy Sessions Completed Detail","Dose at Study End Point Mean","Dose at Study End Point Standard deviation","Dose at Study End Point Detail","Race/Ethnicity Reported (Study level)","Military Status (Study level)","Female Percent (Study level)","Trauma Type (Study level)","Trauma Detail (Study level)","Risk of Bias Rating (Study level)","Citation","PTSDpubs ID","Year Added to PTSD Repository"
"acierno2021_B","acierno2021","Psychotherapy","2021","PTSD","Active Control",,"136","B","67",,"Prolonged exposure therapy delivered in person","Prolonged Exposure (PE)","Trauma-focused CBT according to the manual by Foa, Hembree, & Rothbaum, 2007, provided per PE protocol and delivered in-person.","Yes","Trauma-focused","No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"90 minutes","Weekly","12 to 15","12-15 sessions depending on patient progress","Completing 8 or more sessions",,,,,,"6.28","4.33",,,,,"Race and Ethnicity data reported","Veteran","100%","MST",,"Some Concerns","Acierno R, Jaffe AE, Gilmore AK, et al. A randomized clinical trial of in-person vs. home-based telemedicine delivery of prolonged exposure for PTSD in military sexual trauma survivors. J Anxiety Disord. 2021 Oct;83:102461. doi: 10.1016/j.janxdis.2021.102461. PMID: 34391978.","1575093","2023"
"adenauer2011_A","adenauer2011","Psychotherapy","2011","PTSD","PTSD",,"34","A","16",,"NET","Narrative Exposure Therapy (NET)","Trauma-focused CBT with patients constructing a detailed chronological account of his/her biography, with particular attention on traumatic experiences. Therapy aims to reorganize fragmented report of traumatic experiences into a coherent narrative with details about current and past emotional, physiological, cognitive, and behavioral reactions.","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"NR (session continues until trauma-related fear reaction shows a significant diminution; mean session length was 108 [SD 17.0] minutes)","Weekly or biweekly","6 to12","12 sessions total","did not drop out of treatment",,,,,,,,,,,,"Not reported","Community","44.12%","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"adenauer2011_B","adenauer2011","Psychotherapy","2011","PTSD","Inactive Control",,"34","B","18",,"Waitlist","Waitlist",,"No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"6 to12","""For the participants in the WLC group, the time spans between pre- and posttests were individually matched with the NET group""",,,,,,,,,,,,,"Not reported","Community","44.12%","Terrorism/political violence/forced displacement",,"High","Adenauer H, Catani C, Gola H, et al. Narrative exposure therapy for PTSD increases top-down processing of aversive stimuli -- evidence from a randomized controlled treatment trial. BMC Neurosci. 2011 Dec 19;12:127. doi: 10.1186/1471-2202-12-127. PMID: 22182346.","37889","2019"
"ahmadi2015_A","ahmadi2015","Other mixed","2015","PTSD","PTSD",,"48","A","16",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Sequences of large-magnitude, rhythmic saccadic eye movements while holding in mind the most salient aspect of a traumatic memory. (As described in: Shapiro F. Eye movement desensitization: a new treatment for post-traumatic stress disorder. J Behav Ther Exp Psychiatry. 1989 Sep;20(3):211-7. PubMed PMID: 2576656.)","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,,,,,"See Detail",,"Study reports droout and exclusions, including participants who ""refused to continue the study to the end"" but unclear if treatment attrition or attrition from measurement",,,,,,,,,,"Not reported","Active Duty Military","0%","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_B","ahmadi2015","Other mixed","2015","PTSD","PTSD",,"48","B","16",,"REM Desensitization","Rapid Eye Movement (REM) Desentization","Patients wore glasses during sleep that possess sensors with the ability to detect infrared waves that during the rapid eye movements (REM) period and which activates a musical instrument which delivers a light music","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person",,,,,,"See Detail",,"Study reports droout and exclusions, including participants who ""refused to continue the study to the end"" but unclear if treatment attrition or attrition from measurement",,,,,,,,,,"Not reported","Active Duty Military","0%","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadi2015_C","ahmadi2015","Other mixed","2015","PTSD","Inactive Control",,"48","C","16",,"Control","Waitlist","Received no therapy","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Not reported","Active Duty Military","0%","Combat-related",,"High","Ahmadi K, Hazrati M, Ahmadizadeh MJ, et al. REM desensitization as a new therapeutic method for post-traumatic stress disorder: a randomized controlled trial. Acta Med Indones. 2015 Apr;47(2):111-9.  PMID: 26260553.","46896","2019"
"ahmadizadeh2018_A","ahmadizadeh2018","Nonpharmacologic biological","2018","PTSD","PTSD",,"65","A","22",,"Bilateral rTMS","Transcranial magnetic stimulation (TMS)","Stimulation applied to bilateral dorsolateral prefrontal cortex","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person",,"20 Hz for 2 seconds with inter-train interval of 28 seconds. Total train of 30, 1200 pulse per 15-minute session","Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of treatment",,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_B","ahmadizadeh2018","Nonpharmacologic biological","2018","PTSD","PTSD",,"65","B","21",,"Unilateral rTMS","Transcranial magnetic stimulation (TMS)","Stimulation applied to right dorsolateral prefrontal cortex","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person",,"20 Hz for 2 seconds with inter-train interval of 28 seconds. Total train of 60, 2400 pulse per 30-minute session","Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of treatmnt",,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2018_C","ahmadizadeh2018","Nonpharmacologic biological","2018","PTSD","Inactive Control",,"65","C","22",,"Sham rTMS","Sham","Participants received stimulation that induced a contraction of the abductor pollicis brevis muscle, then magnetic coil switched to a sham coil with identical looks and sounds but prevents magnetic energy from plastic shell","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Three times a week for first 2 weeks, then 2 times a week for 2 weeks","4",,"10 sessions of sham treatment",,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"Some Concerns","Ahmadizadeh MJ, Rezaei M. Unilateral right and bilateral dorsolateral prefrontal cortex transcranial magnetic stimulation in treatment post-traumatic stress disorder: a randomized controlled study. Brain Res Bull. 2018;140:334-40. doi: 10.1016/j.brainresbull.2018.06.001. PMID: 29883597.","50480","2019"
"ahmadizadeh2019_A","ahmadizadeh2019","Nonpharmacologic biological","2019","PTSD","PTSD",,"40","A","20",,"Transcranial direct current stimulation (tDCS)","Transcranial direct current stimulation (tDCS)","Ten tDCS sessions delivered to the right (cathode) and left (anode) dorsolateral prefrontal cortex, with brain areas localized using EEG, over 10 consecutive weekdays","No",,"No",,"No",,"Yes","No","No","No","No","Individual","In Person",,"20 minute treatment with 2mA delivered to scalp electrodes","5 days per week","2",,"Completed 10 sessions of treatment",,,,,,,,,,,,"Not reported","Community","65%",,,"High","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadizadeh2019_B","ahmadizadeh2019","Nonpharmacologic biological","2019","PTSD","Inactive Control",,"40","B","20",,"Sham transcranial direct current stimulation","Sham","Ten sham treatment sessions, with scalp electrodes applied to the dorsolateral prefrontal cortex, over 10 consecutive weekdays.  Current ramped up for 30s and then ramped down.","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,"20 minute sham treatment","5 days per week","2",,"Completed the sham treatment",,,,,,,,,,,,"Not reported","Community","65%",,,"High","Ahmadizadeh MJ, Rezaei M, Fitzgerald PB. Transcranial direct current stimulation (tDCS) for post-traumatic stress disorder (PTSD): a randomized, double-blinded, controlled trial. Brain research bulletin. 2019;153:273-8. PMID: 31560945.","1545324","2020"
"ahmadpanah2014_A","ahmadpanah2014","Pharmacotherapy","2014","PTSD","PTSD",,"100","A","33",,"Prazosin","Prazosin","Alpha-1 receptor blocker; titrated over 10 days, then maintained at 15 mg for duration of study","No",,"Yes","Antiadrenergic","No",,"No","No","No","No","No","Individual","In Person","15 mg; titration: increased from 1 mg to 15 mg over first 10 days",,"Once Daily","8",,,,,,,,,,,,,,"Not reported","Community","28%","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Low","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 Jul;69(4):235-42. doi: 10.1159/000362243. PMID: 24993832.","43996","2019"
"ahmadpanah2014_B","ahmadpanah2014","Pharmacotherapy","2014","PTSD","PTSD",,"100","B","34",,"Hydroxyzine","Hydroxyzine","Histamine H-1 blocker; increased from 10 mg over first 10 days to 100 mg, maintained at 100 mg for duration of study","No",,"Yes","Antianxiety: nonbenzodiazepine","No",,"No","No","No","No","No","Individual","In Person","Initiated at 10 mg, increased to 100 mg",,"Daily","8",,,,,,,,,,,,,,"Not reported","Community","28%","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Low","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 Jul;69(4):235-42. doi: 10.1159/000362243. PMID: 24993832.","43996","2019"
"ahmadpanah2014_C","ahmadpanah2014","Pharmacotherapy","2014","PTSD","Inactive Control",,"100","C","33",,"Placebo","Placebo","Identical shape and color to prazosin and hydroxyzine","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person",,,"Daily","8",,,,,,,,,,,,,,"Not reported","Community","28%","Mixed","combat-related, accidents, natural or manmade disasters, other (not specified)","Low","Ahmadpanah M, Sabzeiee P, Hosseini SM, et al. Comparing the effect of prazosin and hydroxyzine on sleep quality in patients suffering from posttraumatic stress disorder. Neuropsychobiology. 2014 Jul;69(4):235-42. doi: 10.1159/000362243. PMID: 24993832.","43996","2019"
"akbarian2015_A","akbarian2015","Psychotherapy & pharmacotherapy","2015","PTSD","PTSD",,"40","A","20",,"CBT","Trauma-focused cognitive behavioral therapy (TF-CBT)","Group sessions of CBT for PTSD based on Clark and Beck's method; all patients also received ""SSRIs, neuroleptics, or benzodiazepines""","Yes","Trauma-focused","Yes","Other pharmacotherapy","No",,"No","No","No","No","No","Group","In Person",,"60 to 90 minutes","Weekly","10",,"Completed intervention",,"Received allocated intervention (n=14) minus discontinued intervention (n=0)",,,,,,,,,,"Not reported","Community","78.57%","Mixed","intimate partner violence, accidents, illness/medical procedure","High","Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.","43629","2019"
"akbarian2015_B","akbarian2015","Psychotherapy & pharmacotherapy","2015","PTSD","Active Control",,"40","B","20",,"Control condition (psychopharmacologic treatment only)","Medication as usual","All patients received ""SSRIs, neuroleptics, or benzodiazepines;"" control patients visited treatment center for medical and medication check","No",,"Yes","Other pharmacotherapy","No",,"No","No","Yes","No","No","Individual","In Person",,,"Weekly","10",,"Completed intervention",,"Received allocated intervention (n=14) minus discontinued intervention (n=0)",,,,,,,,,,"Not reported","Community","78.57%","Mixed","intimate partner violence, accidents, illness/medical procedure","High","Akbarian F, Bajoghli H, Haghighi M, et al. The effectiveness of cognitive behavioral therapy with respect to psychological symptoms and recovering autobiographical memory in patients suffering from post-traumatic stress disorder. Neuropsychiatr Dis Treat. 2015;11:395-404. doi: 10.2147/NDT.S79581. PMID: 25737635.","43629","2019"
"akuchekian2004_A","akuchekian2004","Pharmacotherapy","2004","PTSD","PTSD",,"67","A","34",,"Topiramate augmentation","Topiramate augmentation","Anticonvulsant drug; augmentation of participant's existing pharmacotherapy (such as neuroleptics, TCAs, benzodiazepines, SSRIs, sodium valproate, or carbamazepine)","No",,"Yes","Mood Stabilizer","No",,"No","No","No","No","No","Individual","In Person","12.5 to 500 mg; titration: 12.5 or 25 mg initial dose, increased in increments of 25 to 50 mg every 3 to 4 days until clinical response up to maximum dose of 500 mg",,"Daily","12",,,,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.","50403","2019"
"akuchekian2004_B","akuchekian2004","Pharmacotherapy","2004","PTSD","Active Control",,"67","B","33",,"Placebo augmentation","Placebo augmentation","Identical in appearance to topiramate 50 mg form; augmentation of participant's existing pharmacotherapy (such as neuroleptics, tricyclic antidepressants, benzodiazepines, SSRIs, sodium valproate, or carbamazepine).","No",,"No",,"No",,"No","No","Yes","No","No","Individual","In Person","Titration details NR (Topiramate group started at 12.5 or 25 mg with maximum dose of 500 mg)",,"Daily","12",,,,,,,,,,,,,,"Not reported","Veteran","0%","Combat-related",,"High","Akuchekian S, Amanat S. The Comparison of Topiramate and Placebo in the Treatment of Posttraumatic Stress Disorder: A Randomized, Double- Blind Study. J Res Med Sci. 2004;9(5):240-4.","50403","2019"
"aldahadha2012_A","aldahadha2012","Psychotherapy","2012","PTSD","PTSD",,"51","A","25",,"EMDR","Eye Movement Desensitization and Reprocessing (EMDR)","Patient asked to focus on traumatic memory, then therapist queries for salient negative and positive cognitions related to the targeted memory while patients move his/her eyes to the therapist's index finger","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,,"Once every 3 weeks","6 to 9","2 to 3 sessions total",,,,,,,,,,,,,"Not reported","Community","52.94%","Accidents",,"High","Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.","1548482","2019"
"aldahadha2012_B","aldahadha2012","Psychotherapy","2012","PTSD","Inactive Control",,"51","B","26",,"Waitlist","Waitlist","No EMDR training","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,,,,,,,,,,,,,,,"Not reported","Community","52.94%","Accidents",,"High","Aldahadha B, Al-Harthy H, Sulaiman S. The Efficacy of Eye Movement Desensitization Reprocessing in Resolving the Trauma Caused by the Road Accidents in the Sultanate of Oman. Journal of Instructional Psychology. 2012;39(3/4):146-58.","1548482","2019"
"alghamdi2015_A","alghamdi2015","Psychotherapy","2015","PTSD","PTSD",,"34","A","17",,"NET","Narrative Exposure Therapy (NET)","Patients narrate their biography and encouraged to relive their trauma-related emotions until habituation was achieved","Yes","Trauma-focused","No",,"No",,"No","No","No","No","No","Individual","In Person",,"60 to 90 minutes","Every 2-4 days","3",,"Treatment completion",,"""All participants completed the treatment.""",,,,,,,,,,"Not reported","Community","0%",,,"High","Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.","46524","2020"
"alghamdi2015_B","alghamdi2015","Psychotherapy","2015","PTSD","Inactive Control",,"34","B","17",,"Waitlist","Waitlist",,"No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"3",,,,,,,,,,,,,,"Not reported","Community","0%",,,"High","Alghamdi M, Hunt NC, Thomas SA. The effectiveness of narrative exposure therapy with traumatised firefighters in Saudi Arabia: a randomized controlled study. Behav Res Ther. 2015 Mar;66:64-71. doi: 10.1016/j.brat.2015.01.008. PMID: 25701801.","46524","2020"
"allen2022_A","allen2022","Other study class","2022","PTSD","PTSD",,"49","A","25",,"Internet-based CBT","Internet-based facilitated self-help","Internet-based CBT program with minimal therapeutic contact, adapted from cognitive processing therapy and prolonged exposure therapy. Lesson content included psychoeducation, writing and reading a trauma narrative, situational exposure, and tools including controlled breathing and progressive muscle relaxation. Therapist contact included response via phone or email to patient request or to symptom deterioration (mean 38 minutes spent per patient over 10 weeks). Participants also received automated email reminders.","No",,"No",,"No",,"No","No","No","Yes","No","Individual","Technology assisted",,"3-4 hours per week (recommended)",,"10","6 lessons over 10 weeks","Completed all 6 lessons",,"14 participants out of 25 randomized (21 participants started treatment)",,,,,,"Number of sessions completed per participant provided in publication",,,,"Not reported","Community","90%","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Rape/sexual assault; Illness/medical procedure; Other (severe human suffering; witnessed violent death; unexpected loss of others; harm/injury to others; other stressor)","High","Allen AR, Smith J, Hobbs MJ, et al. Internet-delivered cognitive behaviour therapy for post-traumatic stress disorder: a randomised controlled trial and outcomes in routine care. Behav Cogn Psychother. 2022 Nov;50(6):649-55. doi: 10.1017/S1352465822000285. PMID: 35924312.","1603004","2024"
"allen2022_B","allen2022","Other study class","2022","PTSD","Inactive Control",,"49","B","24",,"Waitlist","Waitlist","Waitlist","No",,"No",,"No",,"No","No","Yes","No","No",,,,,,"10",,,,,,,,,,,,,,"Not reported","Community","90%","Mixed","Combat-related; Child physical abuse; Child sexual abuse; Rape/sexual assault; Illness/medical procedure; Other (severe human suffering; witnessed violent death; unexpected loss of others; harm/injury to others; other stressor)","High","Allen AR, Smith J, Hobbs MJ, et al. Internet-delivered cognitive behaviour therapy for post-traumatic stress disorder: a randomised controlled trial and outcomes in routine care. Behav Cogn Psychother. 2022 Nov;50(6):649-55. doi: 10.1017/S1352465822000285. PMID: 35924312.","1603004","2024"
